# This file was generated automatically from the data of the 
# models of the accelerators in the pymodels repository by the 
# function: 
#    siriuspy.optics.lattice_survey.generate_model_static_table.
#
# If any model change, please, run the script
# again and copy the generated file to replace this one.


#Magnets data 
#-----------


# Storage Ring (SI)
#---------------------------------------------------------
#Name                 Position @ center [m]
#---------------------------------------------------------
SI-03C2:MA-QS              64.0427       
SI-03BC:MA-BC              64.7987       
SI-03C3:MA-Q4              66.2467       
SI-03C3:MA-CH              66.6817       
SI-03C3:MA-CV-1            66.6817       
SI-03C3:MA-SFB2            66.6817       
SI-03C3:MA-FCH             66.8547       
SI-03C3:MA-FCV             66.8547       
SI-03C3:MA-Q3              67.0867       
SI-03C3:MA-CV-2            67.4317       
SI-03C3:MA-QS              67.4317       
SI-03C3:MA-SDB3            67.4317       
SI-03C3:MA-B2              68.5822       
SI-03C4:MA-SDB2            69.6127       
SI-03C4:MA-Q2              69.9577       
SI-03C4:MA-SFB1            70.3627       
SI-03C4:MA-Q1              70.7977       
SI-03C4:MA-CH              71.1427       
SI-03C4:MA-CV              71.1427       
SI-03C4:MA-SDB1            71.1427       
SI-03C4:MA-B1              72.2417       
SI-04M1:MA-QDB1            72.9957       
SI-04M1:MA-QS              73.2907       
SI-04M1:MA-SDB0            73.2907       
SI-04M1:MA-QFB             73.7557       
SI-04M1:MA-CH              74.1307       
SI-04M1:MA-CV              74.1307       
SI-04M1:MA-SFB0            74.1307       
SI-04M1:MA-FCH             74.2967       
SI-04M1:MA-FCV             74.2967       
SI-04M1:MA-QDB2            74.4607       
SI-04M2:MA-QDB2            81.0562       
SI-04M2:MA-FCH             81.2202       
SI-04M2:MA-FCV             81.2202       
SI-04M2:MA-CH              81.3862       
SI-04M2:MA-CV              81.3862       
SI-04M2:MA-SFB0            81.3862       
SI-04M2:MA-QFB             81.7612       
SI-04M2:MA-QS              82.2262       
SI-04M2:MA-SDB0            82.2262       
SI-04M2:MA-QDB1            82.5212       
SI-04C1:MA-B1              83.2752       
SI-04C1:MA-CH              84.3742       
SI-04C1:MA-CV              84.3742       
SI-04C1:MA-SDB1            84.3742       
SI-04C1:MA-Q1              84.7192       
SI-04C1:MA-SFB1            85.1542       
SI-04C1:MA-Q2              85.5592       
SI-04C1:MA-QS              85.9042       
SI-04C1:MA-SDB2            85.9042       
SI-04C2:MA-B2              86.9347       
SI-04C2:MA-CV-1            88.0852       
SI-04C2:MA-SDB3            88.0852       
SI-04C2:MA-Q3              88.4302       
SI-04C2:MA-CH              88.8352       
SI-04C2:MA-SFB2            88.8352       
SI-04C2:MA-Q4              89.2702       
SI-04C2:MA-CV-2            89.6452       
SI-04C2:MA-FCH             89.9622       
SI-04C2:MA-FCV             89.9622       
SI-04C2:MA-QS              89.9622       
SI-04BC:MA-BC              90.7182       
SI-04C3:MA-Q4              92.1662       
SI-04C3:MA-CH              92.6012       
SI-04C3:MA-CV-1            92.6012       
SI-04C3:MA-SFA2            92.6012       
SI-04C3:MA-FCH             92.7742       
SI-04C3:MA-FCV             92.7742       
SI-04C3:MA-Q3              93.0062       
SI-04C3:MA-CV-2            93.3512       
SI-04C3:MA-QS              93.3512       
SI-04C3:MA-SDA3            93.3512       
SI-04C3:MA-B2              94.5017       
SI-04C4:MA-SDA2            95.5322       
SI-04C4:MA-Q2              95.8772       
SI-04C4:MA-SFA1            96.2822       
SI-04C4:MA-Q1              96.7172       
SI-04C4:MA-CH              97.0622       
SI-04C4:MA-CV              97.0622       
SI-04C4:MA-SDA1            97.0622       
SI-04C4:MA-B1              98.1612       
SI-05M1:MA-QDA             98.9152       
SI-05M1:MA-CH              99.2102       
SI-05M1:MA-CV              99.2102       
SI-05M1:MA-SDA0            99.2102       
SI-05M1:MA-FCH             99.4012       
SI-05M1:MA-FCV             99.4012       
SI-05M1:MA-QFA             99.6252       
SI-05M1:MA-QS              99.9502       
SI-05M1:MA-SFA0            99.9502       
SI-05M2:MA-QS              107.4057      
SI-05M2:MA-SFA0            107.4057      
SI-05M2:MA-QFA             107.7307      
SI-05M2:MA-FCH             107.9547      
SI-05M2:MA-FCV             107.9547      
SI-05M2:MA-CH              108.1457      
SI-05M2:MA-CV              108.1457      
SI-05M2:MA-SDA0            108.1457      
SI-05M2:MA-QDA             108.4407      
SI-05C1:MA-B1              109.1947      
SI-05C1:MA-CH              110.2937      
SI-05C1:MA-CV              110.2937      
SI-05C1:MA-SDA1            110.2937      
SI-05C1:MA-Q1              110.6387      
SI-05C1:MA-SFA1            111.0737      
SI-05C1:MA-Q2              111.4787      
SI-05C1:MA-QS              111.8237      
SI-05C1:MA-SDA2            111.8237      
SI-05C2:MA-B2              112.8542      
SI-05C2:MA-CV-1            114.0047      
SI-05C2:MA-SDA3            114.0047      
SI-05C2:MA-Q3              114.3497      
SI-05C2:MA-CH              114.7547      
SI-05C2:MA-SFA2            114.7547      
SI-05C2:MA-Q4              115.1897      
SI-05C2:MA-CV-2            115.5647      
SI-05C2:MA-FCH             115.8817      
SI-05C2:MA-FCV             115.8817      
SI-05C2:MA-QS              115.8817      
SI-05BC:MA-BC              116.6377      
SI-05C3:MA-Q4              118.0857      
SI-05C3:MA-CH              118.5207      
SI-05C3:MA-CV-1            118.5207      
SI-05C3:MA-SFB2            118.5207      
SI-05C3:MA-FCH             118.6937      
SI-05C3:MA-FCV             118.6937      
SI-05C3:MA-Q3              118.9257      
SI-05C3:MA-CV-2            119.2707      
SI-05C3:MA-QS              119.2707      
SI-05C3:MA-SDB3            119.2707      
SI-05C3:MA-B2              120.4212      
SI-05C4:MA-SDB2            121.4517      
SI-05C4:MA-Q2              121.7967      
SI-05C4:MA-SFB1            122.2017      
SI-05C4:MA-Q1              122.6367      
SI-05C4:MA-CH              122.9817      
SI-05C4:MA-CV              122.9817      
SI-05C4:MA-SDB1            122.9817      
SI-05C4:MA-B1              124.0807      
SI-06M1:MA-QDB1            124.8347      
SI-06M1:MA-QS              125.1297      
SI-06M1:MA-SDB0            125.1297      
SI-06M1:MA-QFB             125.5947      
SI-06M1:MA-CH              125.9697      
SI-06M1:MA-CV              125.9697      
SI-06M1:MA-SFB0            125.9697      
SI-06M1:MA-FCH             126.1357      
SI-06M1:MA-FCV             126.1357      
SI-06M1:MA-QDB2            126.2997      
SI-06M2:MA-QDB2            132.8952      
SI-06M2:MA-FCH             133.0592      
SI-06M2:MA-FCV             133.0592      
SI-06M2:MA-CH              133.2252      
SI-06M2:MA-CV              133.2252      
SI-06M2:MA-SFB0            133.2252      
SI-06M2:MA-QFB             133.6002      
SI-06M2:MA-QS              134.0652      
SI-06M2:MA-SDB0            134.0652      
SI-06M2:MA-QDB1            134.3602      
SI-06C1:MA-B1              135.1142      
SI-06C1:MA-CH              136.2132      
SI-06C1:MA-CV              136.2132      
SI-06C1:MA-SDB1            136.2132      
SI-06C1:MA-Q1              136.5582      
SI-06C1:MA-SFB1            136.9932      
SI-06C1:MA-Q2              137.3982      
SI-06C1:MA-QS              137.7432      
SI-06C1:MA-SDB2            137.7432      
SI-06C2:MA-B2              138.7737      
SI-06C2:MA-CV-1            139.9242      
SI-06C2:MA-SDB3            139.9242      
SI-06C2:MA-Q3              140.2692      
SI-06C2:MA-CH              140.6742      
SI-06C2:MA-SFB2            140.6742      
SI-06C2:MA-Q4              141.1092      
SI-06C2:MA-CV-2            141.4842      
