# HEADER
# ======
# label             si-id-ue44-circularn
# harmonics         0
# main_harmonic     0 normal
# rescaling_factor  1.0
# units             mm   T.m T.m


# KParam    By[T]*Lamba[m]    Bx[T]*Lambda[m]
# ==========================================
00.00	1.556081e-02	1.556081e-02
00.11	1.556054e-02	1.556054e-02
00.22	1.555931e-02	1.555931e-02
00.33	1.555712e-02	1.555712e-02
00.44	1.555397e-02	1.555397e-02
00.55	1.554985e-02	1.554985e-02
00.66	1.554478e-02	1.554478e-02
00.77	1.553874e-02	1.553874e-02
00.88	1.553174e-02	1.553174e-02
00.99	1.552379e-02	1.552379e-02
01.10	1.551487e-02	1.551487e-02
01.21	1.550499e-02	1.550499e-02
01.32	1.549416e-02	1.549416e-02
01.43	1.548236e-02	1.548236e-02
01.54	1.546961e-02	1.546961e-02
01.65	1.545591e-02	1.545591e-02
01.76	1.544125e-02	1.544125e-02
01.87	1.542563e-02	1.542563e-02
01.98	1.540906e-02	1.540906e-02
02.09	1.539154e-02	1.539154e-02
02.20	1.537306e-02	1.537306e-02
02.31	1.535364e-02	1.535364e-02
02.42	1.533327e-02	1.533327e-02
02.53	1.531194e-02	1.531194e-02
02.64	1.528968e-02	1.528968e-02
02.75	1.526646e-02	1.526646e-02
02.86	1.524230e-02	1.524230e-02
02.97	1.521720e-02	1.521720e-02
03.08	1.519116e-02	1.519116e-02
03.19	1.516418e-02	1.516418e-02
03.30	1.513627e-02	1.513627e-02
03.41	1.510741e-02	1.510741e-02
03.52	1.507763e-02	1.507763e-02
03.63	1.504691e-02	1.504691e-02
03.74	1.501526e-02	1.501526e-02
03.85	1.498268e-02	1.498268e-02
03.96	1.494918e-02	1.494918e-02
04.07	1.491475e-02	1.491475e-02
04.18	1.487940e-02	1.487940e-02
04.29	1.484313e-02	1.484313e-02
04.40	1.480594e-02	1.480594e-02
04.52	1.476784e-02	1.476784e-02
04.63	1.472883e-02	1.472883e-02
04.74	1.468890e-02	1.468890e-02
04.85	1.464806e-02	1.464806e-02
04.96	1.460632e-02	1.460632e-02
05.07	1.456368e-02	1.456368e-02
05.18	1.452014e-02	1.452014e-02
05.29	1.447570e-02	1.447570e-02
05.40	1.443036e-02	1.443036e-02
05.51	1.438413e-02	1.438413e-02
05.62	1.433702e-02	1.433702e-02
05.73	1.428901e-02	1.428901e-02
05.84	1.424012e-02	1.424012e-02
05.95	1.419036e-02	1.419036e-02
06.06	1.413971e-02	1.413971e-02
06.17	1.408819e-02	1.408819e-02
06.28	1.403580e-02	1.403580e-02
06.39	1.398255e-02	1.398255e-02
06.50	1.392842e-02	1.392842e-02
06.61	1.387344e-02	1.387344e-02
06.72	1.381760e-02	1.381760e-02
06.83	1.376091e-02	1.376091e-02
06.94	1.370336e-02	1.370336e-02
07.05	1.364497e-02	1.364497e-02
07.16	1.358573e-02	1.358573e-02
07.27	1.352565e-02	1.352565e-02
07.38	1.346474e-02	1.346474e-02
07.49	1.340300e-02	1.340300e-02
07.60	1.334042e-02	1.334042e-02
07.71	1.327702e-02	1.327702e-02
07.82	1.321281e-02	1.321281e-02
07.93	1.314777e-02	1.314777e-02
08.04	1.308192e-02	1.308192e-02
08.15	1.301526e-02	1.301526e-02
08.26	1.294780e-02	1.294780e-02
08.37	1.287954e-02	1.287954e-02
08.48	1.281048e-02	1.281048e-02
08.59	1.274063e-02	1.274063e-02
08.70	1.266999e-02	1.266999e-02
08.81	1.259857e-02	1.259857e-02
08.92	1.252637e-02	1.252637e-02
09.03	1.245339e-02	1.245339e-02
09.14	1.237965e-02	1.237965e-02
09.25	1.230514e-02	1.230514e-02
09.36	1.222987e-02	1.222987e-02
09.47	1.215384e-02	1.215384e-02
09.58	1.207706e-02	1.207706e-02
09.69	1.199954e-02	1.199954e-02
09.80	1.192127e-02	1.192127e-02
09.91	1.184227e-02	1.184227e-02
10.02	1.176253e-02	1.176253e-02
10.13	1.168207e-02	1.168207e-02
10.24	1.160088e-02	1.160088e-02
10.35	1.151898e-02	1.151898e-02
10.46	1.143636e-02	1.143636e-02
10.57	1.135304e-02	1.135304e-02
10.68	1.126902e-02	1.126902e-02
10.79	1.118430e-02	1.118430e-02
10.90	1.109889e-02	1.109889e-02
11.01	1.101279e-02	1.101279e-02
11.12	1.092601e-02	1.092601e-02
11.23	1.083856e-02	1.083856e-02
11.34	1.075043e-02	1.075043e-02
11.45	1.066164e-02	1.066164e-02
