# HEADER
# ======
# label             si-id-delta52-circularn
# harmonics         0
# main_harmonic     0 normal
# rescaling_factor  1.0
# units             mm   T.m T.m


# KParam    By[T]*Lamba[m]    Bx[T]*Lambda[m]
# ==========================================
00.00	6.901986e-04	6.901986e-04
00.13	9.459856e-04	9.459856e-04
00.26	1.201714e-03	1.201714e-03
00.39	1.457369e-03	1.457369e-03
00.53	1.712934e-03	1.712934e-03
00.66	1.968393e-03	1.968393e-03
00.79	2.223730e-03	2.223730e-03
00.92	2.478931e-03	2.478931e-03
01.05	2.733978e-03	2.733978e-03
01.18	2.988857e-03	2.988857e-03
01.31	3.243552e-03	3.243552e-03
01.44	3.498046e-03	3.498046e-03
01.58	3.752325e-03	3.752325e-03
01.71	4.006372e-03	4.006372e-03
01.84	4.260172e-03	4.260172e-03
01.97	4.513710e-03	4.513710e-03
02.10	4.766969e-03	4.766969e-03
02.23	5.019933e-03	5.019933e-03
02.36	5.272589e-03	5.272589e-03
02.49	5.524918e-03	5.524918e-03
02.62	5.776908e-03	5.776908e-03
02.76	6.028540e-03	6.028540e-03
02.89	6.279801e-03	6.279801e-03
03.02	6.530675e-03	6.530675e-03
03.15	6.781146e-03	6.781146e-03
03.28	7.031198e-03	7.031198e-03
03.41	7.280817e-03	7.280817e-03
03.54	7.529986e-03	7.529986e-03
03.68	7.778691e-03	7.778691e-03
03.81	8.026917e-03	8.026917e-03
03.94	8.274647e-03	8.274647e-03
04.07	8.521866e-03	8.521866e-03
04.20	8.768561e-03	8.768561e-03
04.33	9.014714e-03	9.014714e-03
04.46	9.260311e-03	9.260311e-03
04.59	9.505337e-03	9.505337e-03
04.73	9.749776e-03	9.749776e-03
04.86	9.993614e-03	9.993614e-03
04.99	1.023684e-02	1.023684e-02
05.12	1.047943e-02	1.047943e-02
05.25	1.072137e-02	1.072137e-02
05.38	1.096265e-02	1.096265e-02
05.51	1.120326e-02	1.120326e-02
05.64	1.144317e-02	1.144317e-02
05.78	1.168238e-02	1.168238e-02
05.91	1.192087e-02	1.192087e-02
06.04	1.215863e-02	1.215863e-02
06.17	1.239563e-02	1.239563e-02
06.30	1.263187e-02	1.263187e-02
06.43	1.286733e-02	1.286733e-02
06.56	1.310199e-02	1.310199e-02
06.69	1.333585e-02	1.333585e-02
06.83	1.356888e-02	1.356888e-02
06.96	1.380108e-02	1.380108e-02
07.09	1.403243e-02	1.403243e-02
07.22	1.426291e-02	1.426291e-02
07.35	1.449251e-02	1.449251e-02
