# HEADER
# ======
# label             si-sextupole-s15-sfb0-fam
# harmonics         0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 
# main_harmonic     2 normal
# rescaling factor  1.002908
# units             Ampere  T*m T*m  T T  T/m T/m  T/m^2 T/m^2  T/m^3 T/m^3  T/m^4 T/m^4  T/m^5 T/m^5  T/m^6 T/m^6  T/m^7 T/m^7  T/m^8 T/m^8  T/m^9 T/m^9  T/m^10 T/m^10  T/m^11 T/m^11  T/m^12 T/m^12  T/m^13 T/m^13  

# EXCITATION DATA
# ===============
+000.0000 +5.4115e-06 +1.9144e-06  +1.1697e-04 +1.4267e-04  -2.4107e+00 -1.5730e-03  +7.2904e-02 -2.7968e-02  -1.1805e+01 +8.9304e+00  +7.7179e+01 +8.3253e+01  -2.8051e+04 -9.1212e+03  -1.4084e+05 -4.0878e+05  -5.2270e+08 -8.6120e+07  -5.6414e+09 +3.4771e+09  -6.6950e+10 -1.1269e+10  +5.9932e+12 -1.4461e+14  -1.1981e+15 -4.7592e+15  -4.9939e+15 +7.2621e+16  -3.4385e+20 +7.9537e+17  
+129.9961 +2.2763e-05 +2.4374e-06  +1.1539e-02 +1.5763e-02  -2.8993e+02 -1.9181e-02  -3.3150e+00 -3.2245e+00  -5.6997e+02 -2.4018e+01  +1.1735e+03 +1.7073e+03  -1.5176e+06 +3.1608e+05  -2.0719e+07 -2.5583e+07  +1.8849e+11 -1.5225e+10  +2.0089e+10 +2.5433e+10  +1.5478e+12 +5.1754e+12  +9.4332e+13 +7.8973e+12  +7.1766e+16 -4.6008e+16  +1.0442e+19 +1.5913e+19  -4.2820e+22 +8.8457e+20  
+149.9973 +2.8706e-05 +2.0603e-06  +1.3004e-02 +1.7823e-02  -3.3036e+02 -1.3614e-02  -4.3159e+00 -3.2718e+00  -6.0253e+02 -2.1770e+01  +1.5528e+03 +2.1113e+03  -1.7009e+06 +3.5332e+05  -2.5383e+07 -2.9956e+07  +2.1593e+11 -1.8378e+10  +3.7772e+10 +1.4835e+10  +1.6326e+12 +5.3128e+12  +2.7504e+14 -2.3319e+13  +8.2184e+16 -5.4718e+16  +1.2848e+19 +1.8208e+19  -4.8864e+22 +8.0499e+20  
+167.7982 +3.4770e-05 +1.0052e-06  +1.4081e-02 +1.9206e-02  -3.5956e+02 -1.0324e-02  -4.9107e+00 -2.9569e+00  -5.9042e+02 -4.8318e+00  +1.6222e+03 +2.3039e+03  -1.8111e+06 +3.9347e+05  -2.8274e+07 -3.3567e+07  +2.3563e+11 -2.0354e+10  +3.3417e+10 -1.6544e+09  -4.3773e+10 +6.7584e+12  +3.5652e+14 -5.5573e+13  +9.5343e+16 -6.5103e+16  +1.4866e+19 +2.0112e+19  -5.3256e+22 +8.1949e+20  
+180.0000 +3.9348e-05 -1.0943e-07  +1.4696e-02 +1.9909e-02  -3.7589e+02 -8.9752e-03  -5.1573e+00 -2.5467e+00  -5.5978e+02 +1.4905e+01  +1.5238e+03 +2.3451e+03  -1.8579e+06 +4.2481e+05  -2.9569e+07 -3.5890e+07  +2.4658e+11 -2.1257e+10  +1.9500e+10 -1.6796e+10  -2.1460e+12 +8.4691e+12  +3.6919e+14 -8.0115e+13  +1.0648e+17 -7.3652e+16  +1.6183e+19 +2.1342e+19  -5.5731e+22 +8.7584e+20  

# COMMENTS
# ========
# 1. generated automatically with "excdata.py"
# 2. data taken from rotcoil measurements
# 3. data for zero current is extrapolated from data points with lowest measured currents
# 4. average excitation curves for magnets:
#    S15-076 S15-133 S15-152 S15-082 S15-074 S15-163 S15-103 S15-075 S15-072 S15-208 
#    S15-039 S15-048 S15-070 S15-053 S15-038 S15-151 S15-077 S15-013 S15-056 S15-073 
# 5. last data point was extrapolated from a quadratic fitting using last 3 points.

# POLARITY TABLE
# ==============
#
# Magnet function         | IntStrength(1) | IntField(2) | ConvSign(3) | Current(4)
# ------------------------|----------------|-------------|-------------|-----------
# dipole                  | Angle > 0      | BYL  < 0    | -1.0        | I > 0
# corrector-horizontal    | HKick > 0      | BYL  > 0    | +1.0        | I > 0
# corrector-vertical      | VKick > 0      | BXL  < 0    | -1.0        | I > 0
# quadrupole (focusing)   | KL    > 0      | D1NL < 0    | -1.0        | I > 0
# quadrupole (defocusing) | KL    < 0      | D1NL > 0    | -1.0        | I > 0
# quadrupole (skew)       | KL    < 0      | D1SL > 0    | -1.0        | I > 0
# sextupole  (focusing)   | SL    > 0      | D2NL < 0    | -1.0        | I > 0
# sextupole  (defocusing) | SL    < 0      | D2NL > 0    | -1.0        | I > 0
#
# Defs:
# ----
# BYL   := \int{dz By|_{x=y=0}}.
# BXL   := \int{dz Bx|_{x=y=0}}.
# D1NL  := \int{dz \frac{dBy}{dx}_{x=y=0}}
# D2NL  := (1/2!) \int{dz \frac{d^2By}{dx^2}_{x=y=0}}
# D1SL  := \int{dz \frac{dBx}{dx}_{x=y=0}}
# Brho  := magnetic rigidity.
# Angle := ConvSign * BYL / abs(Brho)
# HKick := ConvSign * BYL / abs(Brho)
# VKick := ConvSign * BXL / abs(Brho)
# KL    := ConvSign * D1NL / abs(Brho)
# KL    := ConvSign * D1SL / abs(Brho)
# SL    := ConvSign * D2NL / abs(Brho)
#
# Obs:
# ---
# (1) Parameter definition.
#     IntStrength values correspond to integrated PolynomA and PolynomB parameters
